Gene,Effect,HRE
LDHA,UP,YES
VEGFA,UP,YES
BNIP3L,UP,YES
PGK1,UP,YES
ERO1L,UP,YES
EGLN1,UP,YES
RORA,UP,YES
P4HA1,UP,YES
MXI1,UP,YES
PLOD2,UP,YES
PFKP,UP,YES
GADD45B,UP,YES
AK3L1,UP,YES
BNIP3,UP,YES
NFIL3,UP,YES
LOX,UP,YES
SLC2A1,UP,YES
STC2,UP,YES
STC1,UP,YES
KLF10,UP,YES
MIF,UP,YES
DDIT4,UP,YES
SLC25A36,UP,YES
PFKFB3,UP,YES
ENO1,UP,YES
HK1,UP,YES
ADM,UP,YES
BTG1,UP,YES
CXCR4,UP,YES
PPME1,UP,YES
SMAD7,UP,YES
SERPINE1,UP,YES
PLOD1,UP,YES
PNRC1,UP,YES
EGLN3,UP,YES
NR4A3,UP,YES
ZNF292,UP,YES
AVPI1,UP,YES
YEATS2,UP,YES
RRAGD,UP,YES
PDK3,UP,YES
IGFBP5,UP,YES
DARS,UP,YES
ABCB6,UP,YES
P4HA2,UP,YES
MAFF,UP,YES
PKM2,UP,YES
GAPDH,UP,YES
JUNB,UP,YES
RP11-529I10.4,UP,YES
FOXO3,UP,YES
CHSY1,UP,YES
GBE1,UP,YES
HIVEP2,UP,YES
TPD52,UP,YES
TRPC1,UP,YES
AP3S1,UP,YES
KIAA2013,UP,YES
DDR1,UP,YES
PSD3,UP,YES
TSC22D3,UP,YES
SFXN3,UP,YES
KLF7,UP,YES
PHF21A,UP,YES
PLEKHA2,UP,YES
PCOLCE2,UP,YES
FAM63B,UP,YES
CDKN1B,UP,YES
YPEL5,UP,YES
KLF6,UP,YES
RYBP,UP,YES
GYS1,UP,YES
FNIP1,UP,YES
PTPRR,UP,YES
BCOR,UP,YES
FBXO42,UP,YES
DUSP1,UP,YES
RAP2B,UP,YES
OXSR1,UP,YES
IL1RAP,UP,YES
RSBN1,UP,YES
CLK3,UP,YES
ATF4,UP,YES
UGP2,UP,YES
CCNL1,UP,YES
PIM2,UP,YES
ANKRD12,UP,YES
RCOR1,UP,YES
PLEKHA1,UP,YES
CDC2L6,UP,YES
CCNI,UP,YES
ATF3,UP,YES
RPL22,UP,YES
SLC6A6,UP,YES
TPM2,UP,YES
SCAMP1,UP,YES
NR3C1,UP,YES
MEF2A,UP,YES
SF3B1,UP,YES
PCGF5,UP,YES
ARPC2,UP,YES
RTN4,UP,YES
ADD3,UP,YES
FEM1C,UP,YES
CUL4B,UP,YES
CACNB3,UP,YES
CARHSP1,UP,YES
RAB11FIP5,UP,YES
ING1,UP,YES
TMF1,UP,YES
MORF4L2,UP,YES
MBD6,UP,YES
TTC3,UP,YES
CEP57,UP,YES
GOLGA5,UP,YES
SERTAD2,UP,YES
IDH2,UP,YES
DNAJC5,UP,YES
CSNK1A1,UP,YES
HSP90B1,UP,YES
PPP3CC,UP,YES
HBP1,UP,YES
DNAJC1,UP,YES
SH3GLB1,UP,YES
RAPGEF6,UP,YES
VDAC1,UP,YES
MGEA5,UP,YES
KIAA1128,UP,YES
VIM,UP,YES
STAG2,UP,YES
CLK1,UP,YES
OXR1,UP,YES
PTPRF,UP,YES
MTMR3,UP,YES
MKRN1,UP,YES
FNBP1,UP,YES
SMS,UP,YES
DNAJB9,UP,YES
FGFR1OP2,UP,YES
CEP350,UP,YES
MAP4,UP,YES
GLG1,UP,YES
RPS18,UP,YES
RPLP0,UP,YES
CTDSPL2,UP,YES
MAT2A,DOWN,YES
HSPH1,DOWN,YES
FAM118B,DOWN,YES
CCNB1,DOWN,YES
CAD,DOWN,YES
